RSSI 5 metri;RTT 5 metri;;RSSI 10 metri;RTT 10 metri;;RSSI 15 metri;RTT 15 metri;;RSSI 20 metri;RTT 20 metri;;RSSI 25 metri;RTT  25 metri;;RSSI 30 metri ;RTT 30 metri;;RSSI  35 metri;RTT 35 metri;;RSSI 40 metri;RTT 40 metri
-52;5,77;;-68;4,78;;-67;4,27;;-59;4;;-59;5,17;;-67;8,01;;-64;8,49;;-65;5,17
-52;4,9;;-68;12,7;;-68;4,13;;-60;8;;-59;4,72;;-65;4,8;;-64;5,47;;-66;5,53
-54;5,78;;-68;11,6;;-68;4,26;;-59;4,26;;-59;4,12;;-65;6;;-64;5,52;;-66;5,09
-53;5,06;;-68;4,79;;-68;4,3;;-60;4,37;;-59;3,93;;-67;4,46;;-64;5,47;;-66;5
-53;5,66;;-68;14,3;;-68;4,24;;-60;4,1;;-59;3,95;;-67;4,73;;-64;5,36;;-66;5,62
-53;5,85;;-68;7,22;;-68;4,71;;-59;4,01;;-59;3,99;;-67;4,54;;-64;7,07;;-66;5,64
-52;7,86;;-69;14,5;;-68;5,64;;-53;4,27;;-59;4,55;;-68;4,02;;-65;5,25;;-66;5,82
-52;8,06;;-68;5,95;;-68;4,49;;-60;4,54;;-59;4,34;;-65;4,82;;-63;4,97;;-66;5,63
-49;7,88;;-68;12,7;;-68;4,44;;-60;4,12;;-59;4,69;;-68;4,19;;-65;5,51;;-66;5,06
-52;5,91;;-68;6,39;;-68;4,19;;-59;4,42;;-59;4,54;;-67;4,8;;-63;6,53;;-66;5,76
-52;5,12;;-68;17;;-68;4,17;;-59;6,34;;-59;4,06;;-68;6,9;;-65;8,13;;-66;5,58
-52;5,33;;-69;7,23;;-68;4,08;;-60;4,04;;-58;4,86;;-68;4,49;;-63;5,02;;-66;5,52
-53;5,56;;-66;16,3;;-68;4,64;;-59;5,23;;-58;4,5;;-68;4,53;;-64;5,62;;-66;5,77
-52;5,19;;-69;6,23;;-68;4,31;;-59;5,87;;-59;4,52;;-68;6,85;;-64;4,98;;-66;5,29
-52;5,35;;-69;6,87;;-65;4,06;;-59;4,08;;-58;4,72;;-67;4,49;;-64;5,77;;-67;7,34
-52;5,77;;-69;8,75;;-68;4,57;;-60;5,03;;-59;4,71;;-67;5,86;;-64;5,19;;-66;4,95
-52;6,27;;-68;11,9;;-68;4,69;;-60;5,26;;-59;4,51;;-67;7,79;;-64;5,47;;-64;5,51
-53;5;;-68;15,8;;-68;4,75;;-60;5,23;;-59;4,76;;-68;5,56;;-64;5,41;;-65;8,33
-49;4,93;;-69;17,7;;-68;4,13;;-60;5,62;;-59;4,79;;-68;5,45;;-64;5,8;;-65;5,13
-52;6,75;;-69;5,95;;-67;7,41;;-60;5,34;;-59;4,05;;-65;5,45;;-64;6,45;;-65;5,8
-51;5,91;;-69;7,75;;-68;4,52;;-60;5,62;;-59;4,83;;-65;4,61;;-64;5,59;;-63;5,66
-52;5,67;;-69;18,6;;-68;4,53;;-60;8,42;;-59;4,73;;-68;4,82;;-64;5,53;;-80;7,91
-51;5,17;;-68;5,92;;-68;4,41;;-59;4,22;;-59;7,63;;-65;5,71;;-65;5,15;;-75;11,3
-53;5,99;;-68;6,24;;-68;4,31;;-60;5,4;;-59;4,52;;-65;4,81;;-64;6,8;;-67;8,07
